[main_menu]|en|fi|pt|ru|zh|ja|ko|de|fr
inventory_extra|Extra|Lisä|Extra|Extra|官方 Discord|公式 Discord|공식 Discord|Extra|Secondaire
discord_official|Official Discord|Virallinen Discord|Discord Oficial|Official Discord|提示：您可以通过将鼠标悬停在技能上并按下技能绑定按钮来绑定多个技能（这些可以在选项中找到）|ヒント: スキルにカーソルを合わせてスキル バインド ボタンを押すと、複数のスキルをバインドできます (これらはオプションにあります)|힌트: 스킬에 마우스를 올리고 스킬 바인딩 버튼을 누르면 여러 스킬을 바인딩할 수 있습니다(옵션에서 찾을 수 있음)|Offizieller Discord|Discord officiel
bind_hint|Hint: You can bind multiple skills by hovering a skill and pressing a skill bind button (these can be found in the options)||Dica: Você pode vincular várias habilidades passando o mouse sobre uma habilidade e pressionando o botão de vinculação de habilidade (podem ser encontrados nas configurações)|Подсказка: вы можете привязать несколько навыков, наведя курсор на навык и нажав кнопку привязки навыка (их можно найти в настройках)|最低玩家等级 |最小プレイヤー レベル |최소 플레이어 레벨 |Tipp: Sie können mehrere Fähigkeiten binden, indem Sie mit der Maus über eine Fähigkeit fahren und eine Schaltfläche zum Binden von Fähigkeiten drücken (diese finden Sie in den Optionen)|Conseil : vous pouvez lier plusieurs compétences en survolant une compétence et en appuyant sur une touche de raccourci (Vous pouvez modifier ces dernières depuis Option > Contrôles).
server_level_req|Minimum Player Level|Pelaajan minimitaso|Nível Mínimo do Jogador|Минимальный уровень игрока |||최소 플레이어 레벨|Mindestspielerlevel |Niveau min. requis
server_steam_friend_password|Steam friends can join without password|Steam kaverit voivat liittyä ilman salasanaa|Amigos da steam podem entrar sem uma senha|Друзья Steam могут присоединиться без пароля|Steam 好友无需密码即可加入|Steam フレンドはパスワードなしで参加できます|Steam 친구는 비밀번호 없이 가입 가능|Steam-Freunde können ohne Passwort beitreten|Les amis Steam peuvent rejoindre sans mot de passe
steam_invite_character_not_compatible|This character is not compatible with the game invite. Do you want to dismiss the invite?|Tämä hahmo ei ole yhteensopiva pelikutsun kanssa. Haluatko hylätä kutsun?|Este personagem não é compatível com o convite para jogo. Deseja cancelar o convite?|Этот персонаж несовместим с приглашением в игру. Вы хотите отклонить приглашение?|此角色与游戏邀请不兼容。是否要忽略邀请？|このキャラクターはゲーム招待と互換性がありません。招待を拒否しますか?|이 캐릭터는 게임 초대와 호환되지 않습니다. 초대를 취소하시겠습니까?|Dieser Charakter ist nicht mit der Spieleinladung kompatibel. Möchten Sie die Einladung ablehnen?|Ce personnage n'est pas compatible avec l'invitation de jeu. Voulez-vous rejeter l'invitation ?
steam_invite_ingame_exit|Do you want to exit current session to join game invite?|Haluatko lopettaa nykyisen pelin ja liittyä pelikutsuun?|Deseja sair da sessão atual para aceitar o convite de jogo?|Вы хотите выйти из текущего сеанса, чтобы присоединиться к приглашению в игру?|是否要退出当前会话以加入游戏邀请？|ゲーム招待に参加するために現在のセッションを終了しますか?|현재 세션을 종료하고 게임 초대에 참여하시겠습니까?|Möchten Sie die aktuelle Sitzung beenden, um der Spieleinladung beizutreten?|Voulez-vous quitter la session en cours pour rejoindre l'invitation de jeu ?
augments|Augments|Lisävoimat|Aumentos|Улучшения|增强|増強|증강|Erweiterungen|Augmentations
unspent_attribute|Attribute Points|Ominaisuuspisteet|Pontos de Atributo|Очки характеристик|属性点|属性ポイント|속성 포인트|Attributpunkte|Points d'attribut
unspent_skill|Skill Points|Taitopisteet|Pontos de Habilidade|Очки навыков|技能点|スキルポイント|스킬 포인트|Fertigkeitspunkte|Points de compétence
specialization_title|Skill Specialization|Taitojen erikoistuminen|Especialização de Habilidade|Специализация навыков|技能专长|スキル特化|스킬 전문화|Fertigkeitsspezialisierung|Spécialisation de compétence
specialization_description|Specialize, boost and change how this skill works!|Erikoistu, tehosta ja muuta tämän taidon toimintaa!|Escolha sua especialização e aumente o valor principal da habilidade escolhida! Você sempre pode mudar de especialização redefinindo seus pontos de habilidade.|Специализируйте, усиливайте и изменяйте работу этого навыка!|专长、提升和更改此技能的工作方式！|このスキルを特化、強化、および動作方法を変更します!|이 스킬의 작동 방식을 전문화, 강화 및 변경하세요!|Spezialisieren Sie sich, steigern Sie und ändern Sie die Funktionsweise dieser Fähigkeit!|Spécialisez, améliorez et modifiez le fonctionnement de cette compétence !
specialization_desc_short|Choose a skill to specialize in, boosting its strength!|Valitse taito, johon haluat erikoistua ja vahvista sen vahvuutta!|Escolha uma habilidade para se especializar, aumentando sua força!|Выберите навык, на котором хотите специализироваться, увеличивая его силу!|选择专长的技能，提升其强度！|特化するスキルを選択して、その強さを強化します!|전문화할 스킬을 선택하여 스킬의 강도를 강화하세요!|Wählen Sie eine Fähigkeit, auf die Sie sich spezialisieren möchten, und steigern Sie ihre Stärke!|Choisissez une compétence dans laquelle vous spécialiser, augmentant sa force !
speciality|Speciality|Erikoisuus|Especialidade|Специализация|专长|特化|전문화|Spezialität|Spécialité
exit|Exit|Poistu|Sair|Выйти|退出|終了|종료|Beenden|Quitter
assign_skill|Assign Skill Bind|Määritä Skill Bind|Atribuir Vínculo de Habilidade|Назначить привязку навыков|分配技能绑定|スキルバインドの割り当て|스킬 바인딩 할당|Fertigkeitsbindung zuweisen|Assigner un lien de compétence
hero_talent_board|Hero Skills|Sankaritaidot|Habilidades do Herói|Навыки героя|英雄技能|ヒーロースキル|영웅 스킬|Heldenfähigkeiten|Compétences de héros
mercenary_skills|Mercenary Skills|Palkkasoturitaidot|Habilidades do Mercenário|Навыки наемника|雇佣兵技能|傭兵スキル|용병 스킬|Söldnerfähigkeiten|Compétences de mercenaire
unlock_tower_chest|Unlocked in Inferno|Avattu Infernossa|Desbloqueado no Inferno|Открывается в Inferno|在地狱中解锁|インフェルノでロック解除|인페르노에서 잠금 해제|In Inferno freigeschaltet|Débloqué dans Inferno
next_quest|Next Quest|Seuraava tehtävä|Próxima Quest|Следующий квест|下一个任务|次のクエスト|다음 퀘스트|Nächste Quest|Prochaine quête
convert_odyssey_to_normal|Convert to Normal|Muunna normaaliksi|Converter para Normal|Преобразовать в обычного|转换为普通|通常に変換|일반으로 전환|In Normal umwandeln|Convertir en normal
convert_odyssey_to_normal_confirm|Are you sure you want to convert your Odyssey character to a normal character?|Oletko varma, että haluat muuntaa Odyssey-hahmosi tavalliseksi hahmoksi?|Você tem certeza de que quer converter seu personagem Odisseia para um personagem normal?|Вы уверены, что хотите преобразовать своего персонажа Odyssey в обычного персонажа?|您确定要将您的 Odyssey 角色转换为普通角色吗？|オデッセイキャラクターを通常のキャラクターに変換してもよろしいですか?|Odyssey 캐릭터를 일반 캐릭터로 전환하시겠습니까?|Sind Sie sicher, dass Sie Ihren Odyssey-Charakter in einen normalen Charakter umwandeln möchten?|Êtes-vous sûr de vouloir convertir votre personnage Odyssey en personnage normal ?
dont_save|Don´t Save|Älä Tallenna|Não Salvar|Не сохранять|不保存|保存しない|저장 안 함|Nicht speichern|Ne pas sauvegarder
dungeon_glyph_chance|Glyph Drop Chance|Glyph Drop Chance|Chance de Drop de Glifo|Шанс выпадения символа|雕文掉落几率|グリフドロップ確率|글리프 드롭 확률|Glyphen-Drop-Chance|Chances de drop de glyphe
dungeon_incarnation_experience|Essence of Incarnation gain|Essence of Inkarnation -voitto|Ganho da Essência da Encarnação|Получите эссенцию воплощения|化身精华获得|化身のエッセンス獲得|인카네이션의 정수 획득|Essenz der Inkarnation erhalten|Gain d'essence d'incarnation
dungeon_reward_magic_find|Reward chest magic find|Palkitse rinnassa taikalöytö|Magic Find do Baú de Recompensa|Найти магический сундук с наградами|奖励宝箱魔法发现|報酬チェスト魔法発見|보상 상자 마법 발견|Magiefund in Belohnungstruhen|Trouvez de la magie dans un coffre de récompense
dungeon_monster_life|Monster life scaling|Monster life skaalaus|Escalonamento da Vida de Monstros|Масштабирование жизни монстра|怪物生命缩放|モンスターライフスケーリング|몬스터 생명력 스케일링|Monsterlebensskalierung|Augmentation de la vie des monstres
dungeon_monster_damage|Monster damage scaling|Monsterivaurioiden skaalaus|Escalonamento do Dano de Monstros|Масштабирование урона монстра|怪物伤害缩放|モンスターダメージスケーリング|몬스터 피해 스케일링|Monsterschadensskalierung|Augmentation des dégâts des monstres
incarnation_altar|Altar of Incarnation|Inkarnaation alttari|Altar da Incarnação|Алтарь воплощения|化身祭坛|化身の祭壇|인카네이션의 제단|Altar der Inkarnation|Autel d'incarnation
creation_no_skill|No Chosen Skill|Ei valittua taitoa|Nenhuma Habilidade Selecionada|Нет выбранного навыка|未选择技能|選択したスキルなし|선택한 스킬 없음|Keine ausgewählte Fähigkeit|Aucune compétence choisie
creation_hover_skill|Hover the skills on the left to show descriptions!|Näytä kuvaukset viemällä taidot vasemmalle!|Passe o Mouse nas Habilidades da Esquerda para mostrar as descrições!|Наведите указатель мыши на навыки слева, чтобы увидеть описания!|将鼠标悬停在左侧的技能上以显示描述！|左側のスキルにカーソルを合わせると説明が表示されます!|왼쪽에 있는 스킬에 마우스를 올려놓으면 설명이 표시됩니다!|Bewegen Sie den Mauszeiger über die Fähigkeiten auf der linken Seite, um Beschreibungen anzuzeigen!|Passez la souris sur les compétences à gauche pour afficher les descriptions !
