[quest]|en|fi|pt|ru|zh|ja|ko|de|fr
quest_description_1044|Use Sucker-5000-B to capture enemies in Event Horizon.||Use o Aspirador-5000 para capturar inimigos nos Jardins Astrais.|Используйте Sucker-5000-B для захвата врагов в Астральных садах.|||이벤트 호라이즌에서 적을 포획하려면 Sucker-5000-B를 사용하세요.||Utilisez Aspi-5000-B pour capturer des ennemis dans l'Acte VII Zone II ou III.
quest_objective_1044_1|Enemies captured|Vihollista kaapattu|Inimigos capturados|Враги захвачены в плен|被捕获的敌人|捕獲された敵|적군|Feinde gefangen genommen|Ennemis capturés
|||||||||
quest_name_1045|Purge your demons!||Expurgue seus Demônios|Изгони своих демонов!|||당신의 악마를 정화하라!||Dégagez la zone !
quest_description_1045|Slay enemies within the Parallel Dimension… ||Mate inimigos dentro da Dimensão Paralela…|Убивайте врагов в Параллельном измерении… |||평행 차원 안에서 적을 처치하세요…||Tuez les ennemis dans les zones IV et V de l'acte VII.
quest_objective_1045_1|Casket Horror||Horror do caixão|Ужас в Гробу|||관 속의 공포||Squelette fantôme
quest_objective_1045_2|Nightmare Priest||Sacerdote do Pesadelo|Кошмарный Священник|||||Archer fantôme
quest_objective_1045_3|Gnarler||Deformado|Корявый|||||Chevalier en armure
quest_objective_1045_4|Headless butler||Mordomo sem cabeça|Безголовый дворецкий|||머리 없는 집사||Majordome sans tête
|||||||||
quest_name_1046|Master of Destruction|Tuhon mestari|Mestre da Destruição|Мастер разрушения|毁灭大师|破壊のマスター|파괴의 대가|Meister der Zerstörung|Maître de la destruction
quest_description_1046|Kill Mevius in the Verge of Insanity||Mate Mevius na Beira da Insanidade.|Убить Мевиуса на грани Безумия|||광기의 벼랑에서 메비우스를 처치하세요||Tuez Mevius dans l'Acte VII.
quest_objective_1046_1|Mevius killed|Mevius surmattu|Mevius morto|Мевиус убит|梅维乌斯被杀|メビウスは殺された|메비우스 사망|Mevius getötet|Mevius tué
|||||||||
[MAIN NIGHTMARE]|||||||||
quest_name_1101|Magic Stones||Pedras Mágicas||||마법의 돌||
quest_description_1101|Slay Commander Albert within the Black Tower in Woodhill Plains||Mate o Comandante Albert na Torre Negra nas Planícies Woodhill||||우드힐 평원의 검은 탑에서 알버트 사령관을 처치하십시오||
quest_objective_1101_1|Commander Albert slain||Comandante Albert morto||||사령관 알버트 사망||
|||||||||
quest_name_1102|The Wild Hunt||Pedras Mágicas||||야생의 사냥||
quest_description_1102|The Hunt is on! Slay the wild creatures and skeletons within Act II.||A caçada começou! Mate as criaturas selvagens e os esqueletos no Ato II.||||사냥이 시작됐다! Act II에서 야생 생물과 해골을 처치하세요.||
quest_objective_1102_1|Wild Creatures slain||Criaturas Selvagens eliminadas||||야생 생명체 처치||
quest_objective_1102_2|Skeletons slain||Esqueletos eliminados||||해골 처치||
|||||||||
quest_name_1103|Tomb Raider||Invasor de Tumbas||||툼 레이더||
quest_description_1103|The pyramid is a sacred place taken over by the undead.. Purge them all!||A pirâmide é um local sagrado tomado pelos mortos-vivos. Expurgue todos eles!||||피라미드는 언데드가 점령한 신성한 장소입니다. 모두 정화하세요!||
quest_objective_1103_1|Desert Monsters slain||Monstros do Deserto mortos||||사막 몬스터 처치||
quest_objective_1103_2|Pyramid Undead slain||Mortos-vivos da pirâmide mortos||||피라미드 언데드 처치||
|||||||||
quest_name_1104|Secrets of Iron||Segredos do Ferro||||철의 비밀||
quest_description_1104|Mine Iron Ore for Kleiton and slay the Forge Master within the Abandoned Mine inside the Highland Mines.||Minere Minério de Ferro para Kleiton e mate o Mestre da Forja na Mina Abandonada dentro das Minas das Terras Altas.||||클레이튼을 위해 철광석을 채굴하고 고지대 광산 안에 있는 버려진 광산의 대장장이를 처치하세요.||
quest_objective_1104_1|Iron Ore Collected||Minério de Ferro Coletado||||철광석 수집됨||
quest_objective_1104_2|Forge Master slain||Mestre da Forja morto||||대장장이 사망||
|||||||||
quest_name_1105|Warlord Training||Treinamento do Senhor da Guerra||||전쟁 군주 훈련||
quest_description_1105|Train your combat skills and slay monsters within Act V.||Treine suas habilidades de combate e mate monstros no Ato V.||||전투 기술을 연마하고 Act V에서 몬스터를 처치하세요.||
quest_objective_1105_1|Monsters slain||Monstros eliminados||||처치한 몬스터 수||
|||||||||
quest_name_1106|Souls of the Dead||Almas dos Mortos||||죽은 자의 영혼||
quest_description_1106|Slay monsters within Act VI and collect their essence.||Mate os monstros no Ato VI e colete a essência deles.||||액트 VI에서 몬스터를 처치하고 그들의 정수를 수집하세요.||
quest_objective_1106_1|Essence of Undead collected||Essência dos Mortos-vivos coletada||||언데드의 정수 수집됨||
|||||||||
quest_name_1107|Lost Manual||Manual Perdido||||잃어버린 매뉴얼||
quest_description_1107|Retrieve Lost Manual from Distorted Horizons within the Event Horizon.||Recupere o Manual Perdido de Horizontes Distorcidos dentro do Horizonte de Eventos.||||사건의 지평선 안에 왜곡된 지평선에서 잃어버린 매뉴얼을 회수하십시오.||
quest_objective_1107_1|Lost Manual collected||Manual Perdido coletado||||잃어버린 설명서 수집됨||
|||||||||
quest_name_1108|Eight Legged Monstrosities||Monstruosidades de Oito Pernas||||여덟 다리 괴물||
quest_description_1108|Slay Helheim Arachnid within the Camp of Souls||Mate o Aracnídeo de Helheim dentro do Campo das Almas.||||영혼의 캠프에서 헬하임 거미를 처치하세요||
quest_objective_1108_1|Helheim Arachnid slain||Aracnídeo de Helheim morto.||||헬하임 거미 처치||
|||||||||
[MAIN HELL]|||||||||
quest_name_1201|Grand Purge||O Grande Expurgo||||대정화||
quest_description_1201|Slay monsters within Act I and then kill Gurag.||Mate monstros no Ato I e depois mate Gurag.||||Act I에서 몬스터를 처치하고 Gurag를 죽이세요.||
quest_objective_1201_1|Monsters slain||Monstros mortos||||처치한 몬스터||
quest_objective_1201_2|Gurag slain||Gurag morto||||구락 처치||
quest_name_1202|Protect The Wilderness||Proteja a Natureza||||야생 보호||
quest_description_1202|Collect wild berries and slay monsters within Act II.||Colete frutas silvestres e mate monstros no Ato II.||||야생 열매를 모으고 Act II에서 몬스터를 처치하세요.||
quest_objective_1202_1|Wild Berries collected||Frutas Silvestres coletadas||||야생 베리 수집됨||
quest_objective_1202_2|Monsters slain||Monstros mortos||||처치한 몬스터||
quest_name_1203|Free Spirits||Espíritos Livres||||자유로운 영혼들||
quest_description_1203|Free entrapped souls within Act III.||Liberte as almas aprisionadas no Ato III.||||행동 III에서 갇힌 영혼들을 해방하세요.||
quest_objective_1203_1|Entrapped Souls freed||Almas Aprisionadas libertadas||||갇힌 영혼 해방||
quest_name_1204|Tarethium’s Essence||Essência de Tarethium||||타레시움의 정수||
quest_description_1204|Mine tarethium ore for Kleiton.||Minere Minério de Tarethium para Kleiton||||클레이튼을 위해 타레티움 광석을 채굴하세요.||
quest_objective_1204_1|Tarethium Ore collected||Minério de Tarethium coletado||||타레시움 광석 수집됨||
quest_name_1205|Warlord’s Command||Comando do Senhor da Guerra||||전쟁군주의 명령||
quest_description_1205|Slay monsters within Act V.||Mate monstros no Ato V.||||액트 V에서 몬스터를 처치하세요.||
quest_objective_1205_1|Monsters slain||Monstros mortos||||몬스터 처치||
quest_name_1206|Purification||Purificação||||정화||
quest_description_1206|Destroy skull piles and slay monsters within Act VI.||Destrua pilhas de crânios e mate monstros no Ato VI.||||해골 무더기를 파괴하고 Act VI에서 몬스터를 처치하세요.||
quest_objective_1206_1|Skull Piles destroyed||Pilhas de Crânios destruídas||||해골 더미 파괴됨||
quest_objective_1206_2|Monsters slain||Monstros mortos||||처치한 몬스터||
quest_name_1207|Fixing Glitches||Corrigindo Falhas||||글리치 수정||
quest_description_1207|Destroy glitching objects within Act VII.||Destrua objetos com falhas no Ato VII.||||Act VII에서 오류가 있는 물체를 파괴하세요.||
quest_objective_1207_1|Glitches fixed||Falhas corrigidas||||버그 수정 완료||
quest_name_1208|Cleansing Valhalla||Limpando Valhalla||||발할라 정화||
quest_description_1208|Slay monsters within Act VIII.||Mate monstros no Ato VIII.||||제8장에서 몬스터를 처치하세요.||
quest_objective_1208_1|Monsters slain||Monstros mortos||||처치한 몬스터||
|||||||||
[MAIN INFERNO]|||||||||
quest_name_1301|The Fall of Darkness||||||어둠의 몰락||
quest_description_1301|Slay Gabriel in the Circle of Hatred and Amun-Ra within the Tomb of Amun-Ra||||||증오의 원 안에서 가브리엘을 처치하고 아문라의 무덤 안에서 아문라를 처치하세요||
quest_objective_1301_1|Gabriel Slain||||||가브리엘 사망||
quest_objective_1301_2|Amun-Ra Slain||||||아문 라 처치됨||
|||||||||
quest_name_1302|The Light of Dawn||||||새벽의 빛||
quest_description_1302|Purge Tarethiel of evil for good..||||||타레티엘에서 악을 영원히 정화하라.||
quest_objective_1302_1|Clear a Chaos Tower||||||혼돈의 탑 정리||
quest_objective_1302_2|Clear an Eternal Battlefield portal||||||영원한 전장의 포탈 정리||
quest_objective_1302_3|Slay Ancient Monsters||||||고대 괴물 처치||
quest_objective_1302_4|Slay Mevius||||||메비우스를 처치하라||
|||||||||
|||||||||
|||||||||
[Community Quests]|||||||||
community_quest_header|Community Quest||Missão da Comunidade||||커뮤니티 퀘스트||
|||||||||
community_quest_title_1|Call to Arms||Chamado às Forças Armadas||||무기 소집||
community_quest_desc_1|I, Mayor Kukkonen, hereby issue a request for the heroes of Tarethiel. Purge the lands of the monsters! The massive infestation of dark creatures roaming our lands has gone on long enough. To ensure that these creatures will not overrun us in the future we have to act now! Obliterate as many as you can by next Friday.||Eu, prefeito Kukkonen, faço um pedido aos heróis de Tarethiel. Expurguem as terras dos monstros! A infestação maciça de criaturas das trevas que vagam por nossas terras já durou tempo suficiente. Para garantir que essas criaturas não nos inundem no futuro, precisamos agir agora! Obliterem o máximo que puderem até a próxima sexta-feira.||||저, 시장 쿠코넨은 타레티엘의 영웅들에게 요청을 드립니다. 땅을 괴물들로부터 정화하세요! 우리 땅을 배회하는 어두운 생물들의 대규모 침입이 너무 오래 지속되었습니다. 앞으로 이러한 생물들이 우리를 압도하지 않도록 지금 행동해야 합니다! 다음 금요일까지 가능한 한 많이 섬멸하세요.||
community_quest_objective_1|Slay monsters all around Tarethiel||Mate monstros em toda Tarethiel||||Tarethiel 전역의 몬스터를 처치하세요||
|||||||||
community_quest_title_2|Chaos at the Tower||Caos na Torre||||타워의 혼돈||
community_quest_desc_2|The good warriors of Tarethiel, listen up! Chaos Towers have been running rampant across the lands! Purify these towers on sight! For glory, for honor!||Guerreiros de Tarethiel, prestem atenção! As Torres do Caos estão correndo desenfreadas pelas terras! Purifiquem estas torres imediatamente! Pela glória, pela honra!||||타레티엘의 용감한 전사들이여, 주목하라! 혼돈의 탑들이 이 땅을 휩쓸고 있다! 이 탑들을 즉시 정화하라! 영광을 위하여, 명예를 위하여!||
community_quest_objective_2|Clear Chaos Towers||Limpe as Torres do Caos||||혼돈의 탑 정리||
|||||||||
community_quest_title_3|Heigh-Ho!||Heigh-Ho!||||하이호!||
community_quest_desc_3|We are in massive need of resources to build our defenses and ensure the survival of the good people of Tarethiel! This is why I, Dr. Tinker Dink, along with Mayor Kukkonen have started a campaign to get as much minerals as possible to bolster our position on the map. Help us collect as much Ores as possible.||Estamos precisando muito de recursos para construir nossas defesas e garantir a sobrevivência do povo de Tarethiel! É por isso que eu, Dr. Tinker Dink, juntamente com o prefeito Kukkonen, iniciamos uma campanha para obter o máximo possível de minerais para reforçar nossa localização no mapa. Ajude-nos a coletar o máximo possível de minérios.||||우리의 방어 시설을 구축하고 타레티엘의 선량한 사람들의 생존을 보장하기 위해 우리는 엄청난 자원이 필요합니다! 그래서 저, 닥터 틴커 딩크와 시장 쿠코넨은 지도를 강화하기 위해 가능한 많은 광물을 확보하기 위한 캠페인을 시작했습니다. 최대한 많은 광석을 모아주세요.||
community_quest_objective_3|Mine ore nodes||Minere nodos de minério||||광석 노드를 채굴하세요||
|||||||||
community_quest_title_4|Sonya’s Soldier||Soldado de Sonya||||소냐의 병사||
community_quest_desc_4|It’s one thing to face Damien’s troops to purge this land of evil, but to also do it with style? That’s more my style! Bring me proof of completed Challenge Dungeons by opening the Chests at the end, and I shall reward you!||Uma coisa é enfrentar as tropas de Damien para expurgar o mal desta terra, mas também fazer isso com estilo? Esse é mais o meu estilo! Traga-me provas da conclusão de Masmorras de Desafio abrindo os baús no final e eu o recompensarei!||||데미안의 군대를 상대하여 이 땅에서 악을 정화하는 것도 한 가지 일이지만, 스타일리시하게 해내는 건 또 다른 이야기죠? 그게 제 스타일이에요! 도전 던전의 완료 증거를 가져오려면 끝에 있는 상자를 열어 저에게 가져오세요. 그러면 보상을 드리겠습니다!||
community_quest_objective_4|Open Challenge Dungeon Chests||Abra Baús de Masmorra de Desafio||||도전 던전 상자 열기||
|||||||||
community_quest_title_5|Gold Farm||Farm de Ouro||||골드 농장||
community_quest_desc_5|The economy is tanking! The monsters are rampaging through the lands, murdering innocents and robbing our resources, including gold! We have seen an increase of scams and cheated currency ruining our already unstable economy. Please slay monsters and collect [c_yellow]our gold[c_reset] back from their cold dead hands. More gold in circulation is better for everyone!||A economia está afundando! Os monstros estão se alastrando pelas terras, assassinando inocentes e roubando nossos recursos, inclusive o ouro! Temos visto um aumento de fraudes e moeda fraudada arruinando nossa economia já instável. Por favor, mate os monstros e recupere [c_yellow]nosso ouro[c_reset] de suas mãos mortas e frias. Mais ouro em circulação é melhor para todos!||||경제가 붕괴하고 있어요! 몬스터들이 땅을 휩쓸며 무고한 사람들을 살해하고 우리의 자원, 특히 금을 약탈하고 있어요! 사기와 부정 통화가 증가하여 이미 불안정한 경제를 망치고 있습니다. 몬스터를 처치하고 그들의 차가운 시체에서 [c_yellow]우리의 금[c_reset]을 되찾아 주세요. 더 많은 금이 유통되면 모두에게 좋습니다!||
community_quest_objective_5|Pick up gold. A lot of gold.||Pegue ouro. Muito ouro.||||황금을 주워라. 많은 황금을.||
|||||||||
community_quest_title_6|Uber-Grind||Uber-Grind||||||
community_quest_desc_6|The dark forces are getting stronger and danger looms near every domain. Show them that we are not afraid! [shake_letter][c_red]Slaughter them![c_reset][shake_reset] Destroy the biggest evil creatures you can find.||As forças das trevas estão ficando mais fortes e o perigo se aproxima de cada domínio. Mostre a eles que não temos medo! [letter_shake][c_red]Abata-os![c_reset][shake_reset] Destrua as maiores criaturas malignas que você puder encontrar.||||어둠의 세력이 강해지고 있으며, 위험이 모든 영역에 다가오고 있습니다. 그들에게 우리가 두려워하지 않는다는 것을 보여줍시다! [shake_letter][c_red]그들을 도륙하라![c_reset][shake_reset] 찾을 수 있는 가장 큰 악의 생물들을 파괴하십시오.||
community_quest_objective_6|Slay Uber bosses||Elimine Chefes Uber||||우버 보스 처치||
|||||||||
community_quest_title_7|Dungeon Crawler||Explorador de Masmorras||||던전 크롤러||
community_quest_desc_7|To further help with purging the infestation of our lands we have to hit them where it hurts. They are below us, crawling through the dungeons. Scheming, getting stronger. Destroy as many of these dungeon dwellers as possible!||Para ajudar ainda mais a eliminar a infestação de nossas terras, temos que atingi-los onde dói. Eles estão abaixo de nós, rastejando pelas masmorras. Planejando, ficando mais fortes. Destrua o maior número possível desses habitantes das masmorra||||우리 땅의 감염을 제거하기 위해 더 많은 도움을 주려면 그들의 약점을 공격해야 합니다. 그들은 우리 아래, 던전을 기어다니고 있습니다. 음모를 꾸미고, 강해지고 있습니다. 가능한 한 많은 던전 거주자들을 파괴하세요!||
community_quest_objective_7|Slay enemies within Special Dungeons||Elimine monstros dentro de masmorras especiais.||||특수 던전에서 적 처치||
|||||||||
community_quest_title_8|Purge Big Baddies||Expurgue Grandes Vilões||||거대 악당 제거||
community_quest_desc_8|It’s time to show those bastards who is the boss here. For too long has Reaper ruled over Danethorpe, enough for the Reign of Karp King or Satan’s Influence over these holy grounds. Time to purge this land, once and for all.||Está na hora de mostrar a esses bastardos quem é o chefe aqui. Há muito tempo o Ceifador governa Danethorpe, o suficiente para o Reinado do Rei Carpa ou a Influência de Satã sobre essas terras sagradas. É hora de limpar essa terra, de uma vez por todas.||||이제 저 자식들에게 누가 여기서 보스인지 보여줄 때다. 리퍼가 다네소프를 너무 오랫동안 지배해왔고, 카프 왕의 통치나 사탄의 영향이 이 거룩한 땅을 지배하기에 충분했다. 이제 이 땅을 한 번에 정화할 시간이다.||
community_quest_objective_8|Kill Act Bosses||Mate Chefes de Ato||||액트 보스 처치||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
[quest casting]|||||||||
quest_cook_meat|Cook Meat||Cozinhar Carne|Приготовьте Мясо|||고기 요리하기||Cuisiner de la viande
quest_cook_meat_action|Cooking delicious hog meat||Cozinhando carne de porco deliciosa|Приготовление вкусного свиного мяса|||맛있는 돼지고기 요리||Cuisiner la délicieuse viande de porc
quest_dirt_dig|Dig||Cavar|Копать|||||Creuser
quest_dirt_dig_action|Digging up dirt||Cavando a terra|Выкапывание грязи|||||Creuser la terre
quest_lift_water|Use Well||Usar Fonte|Используйте Хорошо|||우물 사용||Utiliser le puits
quest_lift_water_action|Lifting water from river Gjöll||Pegando água do rio Gjöll|Подъем воды из реки Йель|||강 Gjöll에서 물 긷기||Prélever de l'eau dans la rivière Gjöll
quest_potion_cauldron|Conjure Potion||Conjurando Poção|Заклинательное Зелье|||물약 창조||Concocter une potion
quest_potion_cauldron_action|Boiling ingredients||Fervendo ingredientes|Ингредиенты для варки|||재료 끓이기||Faire bouillir les ingrédients
quest_attach_wheel|Attach Wheel||Anexar Roda|Прикрепите Колесо|||바퀴 부착||Attacher une roue
quest_attach_wheel_action|Attaching wheel||Anexando roda|Крепежное колесо|||바퀴 부착||Fixer la roue
quest_attach_wheel_done|Wheel attached!||Roda Anexada!||||바퀴가 부착되었습니다!||
quest_harvest_pumpkin_action|Harvesting pumpkin||Colher abóbora|Сбор урожая тыквы|||호박 수확||Moisson de citrouille
quest_harvest_pumpkin|Pumpkin?||Abóbora?|Тыква?|||||Citrouille ?
quest_cook_maggot_stew|Boil the ingredients||Ferva os ingredientes|Отварите ингредиенты|||재료를 끓이세요||Faire bouillir les ingrédients
quest_cooking_maggot_stew|Making Maggot stew||Fazendo Ensopado de larva|Приготовление тушеного мяса из личинок|||구더기 스튜 만들기||Faire un ragoût d'asticots
quest_gathering_herb|Gathering herbs...||Colhendo ervas…|Сбор трав...|||약초 채집 중...||Cueillir des herbes...
quest_gather_ginseng|Collect ginseng plant||Coletar planta de Ginseng|Соберите растение женьшеня|||인삼 식물 수집||Récolter la racine de ginseng
quest_gather_frost_dill|Collect Frost Dill||Coletar Dill|Соберите Морозный Укроп|||서리 딜 수집||Cueillir l'aneth givré
quest_gather_loska|Collect Loska||Coletar Loska|Собери Лоску|||로스카 수집||Ramasser la loska
quest_gather_vermroot|Collect Vermroot||Coletar Vermroot|Соберите Вермут|||버므루트 수집||Récolter la racine de Verm
quest_gather_fanglen|Collect Fanglen||Coletar Fanglen|Собирать Фанглен|||팡글렌 수집||Ramasser la fanglen
quest_inspect_track|Inspect track||Inspecionar rastro|Осмотрите дорожку|||트랙 조사||Inspecter la piste
quest_inspecting|Inspecting...||Inspecionando…|Осматриваю...|||검사 중...||Inspection...
quest_skin_carnage|Skin Carnage's Hide||Esfolar Pele de Carnificina|Шкура Карнажа Шкура Карнажа|||카니지의 가죽||Dépiauter Carnage
quest_skinning|Skinning...||Esfolando…|Сдирание шкуры...|||스키닝 중...||Dépiautage…
quest_gather_devils_cabbage|Collect Devil's Cabbage||Coletar Repolho-do-Diabo|Собирайте Дьявольскую капусту|||악마의 양배추 수집||Marie-jeanne ?
quest_inspect_cart|Inspect Mining Cart||Inspecionar Carrinho de Mineração|Осмотрите Карьерную тележку|||광산 수레 조사||Inspecter le chariot minier
quest_mend_hurrdurr|Attempt to heal Hurrdurr||Tentar curar Hurrdurr|Попытка исцелить Хуррдурра|||훌더를 치유 시도||Essayer de soigner Hurrdurr
quest_mending_hurrdurr|Trying to save Hurrdurr||Tentar salvar Hurrdurr|Пытаясь спасти Хуррдурр|||허르더를 구하려고 시도 중||Tenter de sauver Hurrdurr
quest_collect_bamboo|Rip Bamboo Sticks||Arrancar Vara de Bambu|Срывайте Бамбуковые Палочки|||대나무 막대기 뽑기||Collecter des tiges de bambou
quest_collecting_bamboo|Taking sturdy bamboo||Pegando Bambu Robusto|Берем крепкий бамбук|||튼튼한 대나무 가져가기||Prendre du bambou robuste
quest_craft_rod|Craft Sturdy Fishing Rod||Criar Vara de Pesca Robusta|Изготовьте Прочную Удочку для Ловли Рыбы|||튼튼한 낚싯대 제작||Fabrication d'une canne à pêche robuste
quest_using_workbench|Crafting...||Criando…|Крафт...|||||Assemblage...
quest_collect_spiderweb|Collect Spiderweb||Coletar Teia de Aranha|Собирайте Паутину|||거미줄 수집||Collecte de toiles d'araignée
quest_collecting|Collecting...||Coletando…|Сбор...|||수집 중...||Collecte...
quest_inspect_metal_hook|Inspect Metal Hook||Inspecionar Gancho de Metal|Осмотрите Металлический Крючок|||금속 갈고리 검사||Inspecter le crochet en métal
quest_harvest_soul|Harvest Damned Soul||Colher Alma Maldita|Жатва Проклятой Души|||저주받은 영혼 수확||Récolter l'âme damnée
quest_harvesting_soul|Harvesting soul...||Colhendo alma…|Собирающая душу...|||영혼 수확 중...||Moisson de l'âme...
quest_seal_grave|Bless the Eternal Chalice||Abençoar o Cálice Eterno|Благослови Вечную Чашу|||영원한 성배를 축복하라||Bénir le calice éternel
quest_seal_grave_action|Purifying Damned Souls||Purificando Almas Malditas|Очищение Проклятых Душ|||저주받은 영혼 정화||Purifier les âmes damnées
quest_bag_njals_head|Bagging Njal’s head||Empacotando a cabeça de Vjoll||||Njal의 머리를 자루에 넣기||
quest_repair_beacon|Repairing security beacon||Reparado farol de segurança||||보안 신호기 수리 중||
quest_beacons_up|Turning the security beacon system on||Ligando o sistema do farol de segurança||||보안 비콘 시스템 켜기||
quest_ice_crack|Examining||Examinando||||조사 중||
quest_place_explosives_interact|Placing explosives... carefully||Colocando explosivos… cuidadosamente||||폭발물 설치 중... 조심스럽게||
quest_detonating|Starting detonator||Iniciando detonador||||기폭 장치 시작||
quest_igniting_beacon|Igniting beacon||||||신호 불꽃 점화||
|||||||||
|||||||||
|||||||||
[special cases]|||||||||
quest_require_valhalla_chain|You must have the Valhalla storyline quests completed to be eligible for today’s Bounty Quest!||Você deve ter concluído as missões do enredo de Valhalla para se qualificar para a Caçada de hoje!||||오늘의 현상금 퀘스트에 참여하려면 발할라 스토리라인 퀘스트를 완료해야 합니다!||
quest_require_valhalla_dlc|You must own a copy of The Gates of Valhalla Expansion and have the Valhalla storyline quests completed to be eligible for today’s Bounty Quest!||Você deve possuir uma cópia da expansão The Gates of Valhalla e ter concluído as missões do enredo de Valhalla para se qualificar para a Caçada de hoje!||||오늘의 현상금 퀘스트에 참여하려면 The Gates of Valhalla 확장팩을 소유하고 Valhalla 스토리라인 퀘스트를 완료해야 합니다!||
