[Item Stats]|en|fi|pt|ru|zh|ja|ko|de|fr
stat_poison_resistance|to Poison Resistance|myrkkynkestävyyteen|para Resistência ao Veneno|к сопротивлению яду|对毒素抗性|毒抵抗力へ|독 저항에 대해|auf Giftresistenz|à la résistance au poison
stat_lightning_resistance|to Lightning Resistance|salamankestävyyteen|para Resistência a Raios|к сопротивлению молнии|对闪电抗性|雷撃抵抗力へ|번개 저항에 대해|auf Blitzresistenz|à la résistance à la foudre
stat_max_all_resistance|to Maximum All Resists|Maximum All Resistille|para Todas as Resistências Máximas|к максимальным всем сопротивлениям |最大程度提高所有抵抗力 |すべての耐性を最大にする |모든 저항을 최대로 |bis zum Maximum aller Resists |pour maximiser toutes les résistances 
stat_max_magic_resistance|to Maximum Arcane Resist|Maximum Arcane Resistiin|para Resistência Arcana Máxima|к максимальному сопр. тайной магии|对最大魔法抗性|最大魔法抵抗力へ|최대 마법 저항에 대해|auf maximalen Magiewiderstand|à la résistance max à l'arcane 
stat_max_fire_resistance|to Maximum Fire Resist|maksimaaliseen palonkestävyyteen|para Resistência Máxima a Fogo|к максимальному сопротивленюогню|对最大火焰抗性|最大火焔抵抗力へ|최대 화염 저항에 대해|auf maximalen Feuerwiderstand|à la résistance max au feu
stat_max_cold_resistance|to Maximum Cold Resist|maksimaaliseen kylmänkestoon|para Resistência Máxima ao Gelo|к максимальному сопротивлению холоду|对最大寒冷抗性|最大冷気抵抗力へ|최대 냉기 저항에 대해|auf maximalen Kältewiderstand|à la résistance max au froid
stat_max_poison_resistance|to Maximum Poison Resist|maksimaaliseen myrkkynkestävyyteen|para Resistência Máxima ao Veneno|к максимальному сопротивлению яду|对最大毒素抗性|最大毒抵抗力へ|최대 독 저항에 대해|auf maximalen Giftwiderstand|à la résistance max au poison
stat_max_lightning_resistance|to Maximum Lightning Resist|maksimaaliseen salamankestävyyteen|para Resistência Máxima a Raios|к максимальному сопротивлению молнии|对最大闪电抗性|最大雷撃抵抗力へ|최대 번개 저항에 대해|auf maximalen Blitzwiderstand|à la résistance max à la foudre
stat_extra_ruby|Extra Rubies Dropped From Kills|Ylimääräisiä rubiineja pudotettiin tappajista|Rubis Extra Dropado de Eliminações|Дополнительные рубины выпадают за убийства|额外红宝石掉落|キルから追加のルビーをドロップ|킬로부터 추가 루비 드롭|Zusätzliche Rubine von getöteten Gegnern|Rubis supplémentaires par mort
stat_extra_gold|Extra Gold Dropped From Kills|Ylimääräistä kultaa pudonnut tappajista|Ouro Extra Dropado de Eliminações|Дополнительное золото, выпадающее за убийства|额外金币掉落|キルから追加のゴールドをドロップ|킬로부터 추가 골드 드롭|Zusätzliches Gold von getöteten Gegnern|Or en plus sur les monstres
stat_magic_find|Increased Magic Find|Lisääntynyt Magic Find|Magic Find Aumentado|Увеличение удачи|增加魔法发现|マジックファインド増加|마법 찾기 증가|Erhöhte Magiefundrate|de découverte d'objets magiques
stat_exp_gain|Increased Experience Gain|Lisääntynyt kokemuksen saanti|Ganho de Experiência Aumentado|Увеличение получения опыта|增加经验获取|経験値獲得増加|경험치 획득 증가|Erhöhter Erfahrungsgewinn|d'expérience gagnée
stat_exp_gain_below|Increased Experience Gain Below Level 100|Lisää kokemusta alle 100 tason|Ganho de Experiência Aumentado antes do Nível 100|Увеличение опыта ниже уровня 100 |100 级以下经验值获取增加 |レベル100未満での経験値獲得量増加 |레벨 100 이하에서 경험치 획득 증가 |Erhöhter Erfahrungsgewinn unter Level 100 |Gain d'expérience accru en dessous du niveau 100 
stat_poison_length_reduced|Poison Length Reduced by|Myrkyn pituus pienentynyt|Duração do Veneno Reduzida em|Длительность яда уменьшена на|减少中毒时间|毒の持続時間短縮|독 지속 시간 감소|Giftlänge reduziert um|Durée du poison réduite de 
stat_half_freeze_duration|Half Freeze Duration|Puolijäädytyksen kesto|Duração do Congelamento pela Metade|Половина длительности заморозки|冰冻时间减半|凍結時間の半分|얼음 효과 절반 감소|Halbierte Gefrierdauer|Durée de ralentissement réduite de moitié
stat_cannot_be_frozen|Cannot be Frozen|Ei voi jäädyttää|Não pode ser Congelado|Не может быть заморожен|不会被冻结|凍結不可|동결 불가능|Kann nicht gefroren werden|Ne peut pas être gelé
stat_fire_absorb|Fire Damage Absorbed|Tulivahinko imeytynyt|Dano de Fogo Absorvido|Поглощение урона от огня|吸收火焰伤害|吸収される火焔ダメージ|흡수되는 화염 피해|Feuerschaden absorbiert|de dégâts de feu absorbés
stat_cold_absorb|Cold Damage Absorbed|Kylmävaurio imeytynyt|Dano de Gelo Absorvido|Поглощение урона от холода|吸收寒冷伤害|吸収される冷気ダメージ|흡수되는 냉기 피해|Kältetechnikschaden absorbiert|de dégâts de froid absorbés
stat_lightning_absorb|Lightning Damage Absorbed|Salaman aiheuttama vahinko imeytynyt|Dano de Raios Absorvido|Поглощение урона от молнии|吸收闪电伤害|吸収される雷撃ダメージ|흡수되는 번개 피해|Blitzschaden absorbiert|de dégâts de foudre absorbés
stat_poison_absorb|Poison Damage Absorbed|Myrkkyvaurio imeytynyt|Dano de Veneno Absorvido|Поглощенный урон от яда|吸收毒药伤害|毒ダメージ吸収|독 피해 흡수|Absorbierter Giftschaden|Dégâts de poison absorbés
stat_magic_absorb|Magic Damage Absorbed|Magic Damage absorboitunut|Dano Mágico Absorvido|Поглощенный урон от магии|吸收魔法伤害|魔法ダメージ吸収|마법 피해 흡수|Absorbierter Magieschaden|Dégâts magiques absorbés
stat_belt_slots|Belt Slots|Vyön paikat|Espaços no Cinto|Слоты пояса|腰带槽|ベルトスロット|벨트 슬롯|Gürtelplätze|Emplacements de ceinture
stat_merchant_prices|Decreased Merchant Prices|Alennetut kauppiashinnat|Preços do Comerciante Reduzidos|Сниженные цены торговцев|降低商人价格|商人価格低下|상인 가격 감소|Geringere Händlerpreise|Prix marchands réduits
stat_aoe_attack|Attacks can hit multiple enemies|Hyökkäykset voivat osua useisiin vihollisiin |Ataques podem atingir múltiplos inimigos|Атаки могут поражать нескольких врагов|攻击可以击中多个敌人|攻撃が複数の敵に当たる|공격 시 여러 적을 공격할 수 있음|Angriffe können mehrere Feinde treffen|Les attaques peuvent toucher plusieurs ennemis
stat_mana_cost|Mana Costs decreased by|Mana-kustannukset laskivat|Custos de Mana reduzidos em|Стоимость маны снижена на|法力消耗减少|マナコスト低下|마나 소모량 감소|Manakosten gesenkt um|Coûts en mana réduits de
stat_summon_amount|to Summon Amount|Summon Amount|para Quantidade de Invocações|на сумму призыва|召唤数量|召喚量|소환 수 증가|zur Beschwörungsmenge|au montant d'invocation
stat_summon_life|Summon Life Increased by|Summon Life lisääntynyt|Vida de Invocações Aumentada em|Жизнь призыва увеличена на|召唤生命增加|召喚ライフ増加|소환으로 받는 피해 감소|Beschwörungsleben erhöht um|Vie d'invocation augmentée de
stat_summon_damage_reduction|Reduced damage taken by Summons|Summonsin aiheuttama vahinko pienentynyt|Dano Sofrido por Invocações Reduzidos em|Сниженный урон, получаемый призывами|减少召唤所受伤害|召喚によるダメージ減少|소환 저항력 증가|Reduzierter Schaden durch Beschwörungen|Dégâts subis par les invocations réduits
stat_summon_resistances|to Summon Resistances|kutsua vastarintaa|para Resistências de Invocações|на сопротивления призыва|召唤抗性|召喚耐性|센트리 스킬 증가|zu Beschwörungsresistenzen|aux résistances d'invocation
stat_sentry_skills|to Sentry Skills|Sentry Skillsiin|para Habilidades de Sentinela|на навыки часового|哨兵技能|セントリースキル|센트리 수 증가|zu Wächterfähigkeiten|aux compétences de sentinelle
stat_sentry_amount|to Sentry Amount|Sentry Amountiin|para Quantidade de Sentinelas|на сумму часового|哨兵数量|セントリー量|센트리 공격 속도 증가|zur Wächtermenge|au montant de sentinelle
stat_sentry_attack_speed|Increased Sentry Attack Speed|Lisääntynyt Sentry Attack -nopeus|Velocidade de Ataque de Sentinela Aumentada|Увеличенная скорость атаки часового|增加哨兵攻击速度|セントリー攻撃速度増加|센트리 피해 증가|Erhöhte Angriffsgeschwindigkeit der Wächter|Vitesse d'attaque de sentinelle augmentée
stat_sentry_damage|Increased Sentry Damage|Lisääntynyt vartiovaurio|Dano de Sentinela Aumentado|Увеличенный урон часового|增加哨兵伤害|セントリーダメージ増加|센트리 데미지 증가 |Erhöhter Schaden der Wächter|Dégâts de sentinelle augmentés
stat_sentry_duration|Increased Sentry Duration|Pidentynyt vartiotyön kesto|Duração de Sentinela Aumentado|Увеличенная длительность часового |增加哨兵持续时间 |セントリー持続時間増加 |센트리 지속 시간 증가 |Erhöhte Dauer der Wächter |Durée de sentinelle augmentée 
stat_phys_taken_cold|of Physical Damage taken as Cold|fyysisen vahingon katsotaan kylmäksi|de Dano Físico recebido como Gelo|физического урона, полученного как Холод|受到的物理伤害为冰冻|受ける物理ダメージを冷気として|의 물리적 피해를 추위로 입음|des physischen Schadens, der als Kälteschaden erlitten wird|des dégâts physiques subis sous forme de froid
stat_phys_taken_fire|of Physical Damage taken as Fire|fyysisen vahingon pidettiin tulipalona|de Dano Físico recebido como Fogo|физического урона, полученного как Огонь|受到的物理伤害为火焰|受ける物理ダメージを火として|의 물리적 피해를 불로 입음|des physischen Schadens, der als Feuerschaden erlitten wird|des dégâts physiques subis sous forme de feu
stat_phys_taken_magic|of Physical Damage taken as Arcane|Fyysisen vahingon pidettiin arkaanina|de Dano Físico recebido como Arcano|физического урона, полученного как Тайная магия|受到的物理伤害为奥术|受ける物理ダメージを秘術として|의 물리적 피해를 비전으로 입음|des physischen Schadens, der als Arkanschaden erlitten wird|des dégâts physiques subis sous forme d'arcane
stat_phys_taken_lightning|of Physical Damage taken as Lightning|fyysisen vahingon salamana|de Dano Físico recebido como Raio|физического урона, полученного как Молния|受到的物理伤害为闪电|受ける物理ダメージを雷として|의 물리적 피해를 번개로 입음|des physischen Schadens, der als Blitzschaden erlitten wird|des dégâts physiques subis sous forme de foudre
stat_extraDamageBleeding|Extra Damage to Bleeding Monsters|Ylimääräisiä vaurioita verenvuotohirviöille|Dano Extra contra Inimigos Sangrando|Дополнительный урон кровоточащим монстрам|对流血怪物造成额外伤害|出血モンスターへの追加ダメージ|출혈 몬스터에게 추가 피해|Zusätzlicher Schaden an blutenden Monstern|Dégâts supplémentaires aux monstres saignants
stat_extraDamageFrozen|Extra Damage to Deep Frozen Monsters|Ylimääräisiä vaurioita pakkashirviöille|Dano Extra conta Inimigos Congelados Profundamente|Дополнительный урон глубоко замороженным монстрам|对深度冻结怪物造成额外伤害|凍りついたモンスターへの追加ダメージ|얼음 몬스터에게 추가 피해|Zusätzlicher Schaden an tiefgefrorenen Monstern|Dégâts supplémentaires aux monstres gelés
